School,Sport,Division,Conference,Roster URL 2024 (candidate),Method,Roster URL 2025 (known good),2025 Player Count,Status,Notes
DePaul,mens-soccer,NCAA D1,Big East,https://depaulbluedemons.com/sports/mens-soccer/roster/2024,year-swap (direct),https://depaulbluedemons.com/sports/mens-soccer/roster/2025,28,todo,
DePaul,womens-soccer,NCAA D1,Big East,https://depaulbluedemons.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251008184042/https://depaulbluedemons.com/sports/womens-soccer/roster,28,todo,
DePauw,mens-soccer,NCAA D3,NCAC,https://depauwtigers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://depauwtigers.com/sports/mens-soccer/roster/2025,31,todo,
DePauw University,womens-soccer,NCAA D3,North Coast Athletic Conference,https://depauwtigers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://depauwtigers.com/sports/womens-soccer/roster/2025,28,todo,
DeSales,mens-soccer,NCAA D3,MAC Freedom,https://athletics.desales.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.desales.edu/sports/mens-soccer/roster/2025,37,todo,
DeSales University,womens-soccer,NCAA D3,Middle Atlantic Conference (Freedom),https://athletics.desales.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.desales.edu/sports/womens-soccer/roster/2025,30,todo,
Delaware,mens-soccer,NCAA D1,CAA,https://bluehens.com/sports/mens-soccer/roster/2024,year-swap (direct),https://bluehens.com/sports/mens-soccer/roster/2025,26,todo,
Delaware,womens-soccer,NCAA D1,CUSA,https://bluehens.com/sports/womens-soccer/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251010140637/https://bluehens.com/sports/womens-soccer/roster/,26,todo,
Delaware State,womens-soccer,NCAA D1,NEC,https://dsuhornets.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://dsuhornets.com/sports/womens-soccer/roster,33,todo,
Delaware Valley,mens-soccer,NCAA D3,MAC Freedom,https://athletics.delval.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.delval.edu/sports/mens-soccer/roster/2025,34,todo,
Delaware Valley University,womens-soccer,NCAA D3,Middle Atlantic Conference (Freedom),https://athletics.delval.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.delval.edu/sports/womens-soccer/roster/2025,21,todo,
Delta State,mens-soccer,NCAA D2,GSC,https://gostatesmen.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gostatesmen.com/sports/mens-soccer/roster/2025,29,todo,
Delta State,womens-soccer,NCAA D2,Gulf South Conference,https://gostatesmen.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gostatesmen.com/sports/womens-soccer/roster/2025,29,todo,
Denison,mens-soccer,NCAA D3,NCAC,https://denisonbigred.com/sports/mens-soccer/roster/2024,year-swap (direct),https://denisonbigred.com/sports/mens-soccer/roster/2025,34,todo,
Denison University,womens-soccer,NCAA D3,North Coast Athletic Conference,https://denisonbigred.com/sports/womens-soccer/roster/2024,year-swap (direct),https://denisonbigred.com/sports/womens-soccer/roster/2025,31,todo,
Denver,mens-soccer,NCAA D1,Summit League,https://denverpioneers.com/sports/mens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251026194152/https://denverpioneers.com/sports/mens-soccer/roster,29,todo,
Denver,womens-soccer,NCAA D1,West Coast,https://denverpioneers.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251215135856/https://denverpioneers.com/sports/womens-soccer/roster,26,todo,
Detroit Mercy,mens-soccer,NCAA D1,Horizon League,https://detroittitans.com/sports/mens-soccer/roster/2024,year-swap (direct),https://detroittitans.com/sports/mens-soccer/roster/2025,30,todo,
Detroit Mercy,womens-soccer,NCAA D1,Horizon,https://detroittitans.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://detroittitans.com/sports/womens-soccer/roster,28,todo,
Dickinson,mens-soccer,NCAA D3,Centennial,https://dickinsonathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://dickinsonathletics.com/sports/mens-soccer/roster/2025,37,todo,
Dickinson College,womens-soccer,NCAA D3,Centennial Conference,https://dickinsonathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://dickinsonathletics.com/sports/womens-soccer/roster/2025,32,todo,
District of Columbia,mens-soccer,NCAA D2,CIAA,https://www.udcfirebirds.com/sports/msoc/2024-26/roster,year-swap (direct),https://www.udcfirebirds.com/sports/msoc/2025-26/roster,26,todo,
Dominican (CA),mens-soccer,NCAA D2,PacWest,https://dominicanathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://dominicanathletics.com/sports/mens-soccer/roster/2025,33,todo,
Dominican (CA),womens-soccer,NCAA D2,Pacific West Conference,https://dominicanathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://dominicanathletics.com/sports/womens-soccer/roster/2025,38,todo,
Dominican (IL),mens-soccer,NCAA D3,NACC,https://dustars.com/sports/mens-soccer/roster/2024,year-swap (direct),https://dustars.com/sports/mens-soccer/roster/2025,40,todo,
Dominican (NY),womens-soccer,NCAA D2,Central Atlantic Collegiate Conference,https://www.chargerathletics.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.chargerathletics.com/sports/wsoc/2025-26/roster,24,todo,
Dominican College (NY),mens-soccer,NCAA D2,ECC,https://chargerathletics.com/sports/msoc/2024-26/roster,year-swap (direct),https://chargerathletics.com/sports/msoc/2025-26/roster,36,todo,
Dominican University,womens-soccer,NCAA D3,Northern Athletics Collegiate Conference,https://dustars.com/sports/womens-soccer/roster/2024,year-swap (direct),https://dustars.com/sports/womens-soccer/roster/2025,32,todo,
Drake,mens-soccer,NCAA D1,MVC,https://godrakebulldogs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://godrakebulldogs.com/sports/mens-soccer/roster/2025,31,todo,
Drake,womens-soccer,NCAA D1,Missouri Valley,https://godrakebulldogs.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250929155212/https://godrakebulldogs.com/sports/womens-soccer/roster,31,todo,
Drew,mens-soccer,NCAA D3,Landmark,https://drewrangers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://drewrangers.com/sports/mens-soccer/roster/2025,38,todo,
Drew University,womens-soccer,NCAA D3,Landmark Conference,https://drewrangers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://drewrangers.com/sports/womens-soccer/roster/2025,35,todo,
Drexel,mens-soccer,NCAA D1,CAA,https://drexeldragons.com/sports/mens-soccer/roster/2024,year-swap (direct),https://drexeldragons.com/sports/mens-soccer/roster/2025,27,todo,
Drexel,womens-soccer,NCAA D1,CAA,https://drexeldragons.com/sports/womens-soccer/roster/brocious-liv/11138,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251017023618/https://drexeldragons.com/sports/womens-soccer/roster/brocious-liv/11138,31,todo,
Drury,mens-soccer,NCAA D2,GLVC,https://drurypanthers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://drurypanthers.com/sports/mens-soccer/roster/2025,46,todo,
Drury,womens-soccer,NCAA D2,Great Lakes Valley Conference,https://drurypanthers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://drurypanthers.com/sports/womens-soccer/roster/2025,32,todo,
Duke,mens-soccer,NCAA D1,ACC,https://goduke.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goduke.com/sports/mens-soccer/roster/2025,30,todo,
Duke,womens-soccer,NCAA D1,ACC,https://goduke.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251030110808/https://goduke.com/sports/womens-soccer/roster,25,todo,
Duquesne,mens-soccer,NCAA D1,Atlantic 10,https://goduquesne.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goduquesne.com/sports/mens-soccer/roster/2025,29,todo,
Duquesne,womens-soccer,NCAA D1,Atlantic 10,https://goduquesne.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251117173050/https://goduquesne.com/sports/womens-soccer/roster,29,todo,
ETSU,mens-soccer,NCAA D1,SoCon,https://etsubucs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://etsubucs.com/sports/mens-soccer/roster/2025,30,todo,
Earlham,mens-soccer,NCAA D3,HCAC,https://goearlham.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goearlham.com/sports/mens-soccer/roster/2025,27,todo,
Earlham College,womens-soccer,NCAA D3,Heartland Collegiate Athletic Conference,https://goearlham.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goearlham.com/sports/womens-soccer/roster/2025,27,todo,
East Carolina,womens-soccer,NCAA D1,American,https://ecupirates.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251127215850/https://ecupirates.com/sports/womens-soccer/roster,26,todo,
East Central,womens-soccer,NCAA D2,Great American Conference,https://ecutigers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ecutigers.com/sports/womens-soccer/roster/2025,26,todo,
East Stroudsburg,mens-soccer,NCAA D2,PSAC,https://esuwarriors.com/sports/mens-soccer/roster/2024,year-swap (direct),https://esuwarriors.com/sports/mens-soccer/roster/2025,45,todo,
East Stroudsburg,womens-soccer,NCAA D2,Pennsylvania State Athletic Conference,https://esuwarriors.com/sports/womens-soccer/roster/2024,year-swap (direct),https://esuwarriors.com/sports/womens-soccer/roster/2025,31,todo,
East Tennessee State,womens-soccer,NCAA D1,Southern,https://etsubucs.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251025104411/https://etsubucs.com/sports/womens-soccer/roster,28,todo,
East Texas A&M,womens-soccer,NCAA D1,Southland,https://lionathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://lionathletics.com/sports/womens-soccer/roster/2025,27,todo,
East Texas Baptist,mens-soccer,NCAA D3,ASC,https://goetbutigers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goetbutigers.com/sports/mens-soccer/roster/2025,38,todo,
East Texas Baptist University,womens-soccer,NCAA D3,American Southwest Conference,https://goetbutigers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goetbutigers.com/sports/womens-soccer/roster/2025,37,todo,
Eastern (PA),mens-soccer,NCAA D3,MAC Freedom,https://goeasterneagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goeasterneagles.com/sports/mens-soccer/roster/2025,25,todo,
Eastern Connecticut,mens-soccer,NCAA D3,LEC,https://gowarriorathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gowarriorathletics.com/sports/mens-soccer/roster/2025,30,todo,
Eastern Illinois,mens-soccer,NCAA D1,OVC,https://eiupanthers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://eiupanthers.com/sports/mens-soccer/roster/2025,33,todo,
Eastern Illinois,womens-soccer,NCAA D1,Ohio Valley,https://eiupanthers.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://eiupanthers.com/sports/womens-soccer/roster,28,todo,
Eastern Kentucky,womens-soccer,NCAA D1,UAC,https://ekusports.com/sports/womens-soccer/roster/ella-grode/11541,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250909154310/https://ekusports.com/sports/womens-soccer/roster/ella-grode/11541,29,todo,
Eastern Mennonite,mens-soccer,NCAA D3,ODAC,https://emuroyals.com/sports/mens-soccer/roster/2024,year-swap (direct),https://emuroyals.com/sports/mens-soccer/roster/2025,27,todo,
Eastern Mennonite University,womens-soccer,NCAA D3,Old Dominion Athletic Conference,https://emuroyals.com/sports/womens-soccer/roster/2024,year-swap (direct),https://emuroyals.com/sports/womens-soccer/roster/2025,20,todo,
Eastern Michigan,womens-soccer,NCAA D1,MAC,https://emueagles.com/sports/womens-soccer/roster/olivia-sipsock/16826,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250929041253/https://emueagles.com/sports/womens-soccer/roster/olivia-sipsock/16826,28,todo,
Eastern New Mexico,mens-soccer,NCAA D2,LSC,https://goeasternathletics.com/sports/mens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://goeasternathletics.com/sports/mens-soccer/roster,32,todo,
Eastern New Mexico,womens-soccer,NCAA D2,Lone Star Conference,https://goeasternathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goeasternathletics.com/sports/womens-soccer/roster/2025,22,todo,
Eastern University,womens-soccer,NCAA D3,Middle Atlantic Conference (Commonwealth),https://goeasterneagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goeasterneagles.com/sports/womens-soccer/roster/2025,32,todo,
Eastern Washington,womens-soccer,NCAA D1,Big Sky,https://goeags.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251201205713/https://goeags.com/sports/womens-soccer/roster,29,todo,
Eckerd,mens-soccer,NCAA D2,Sunshine State,https://eckerdtritons.com/sports/mens-soccer/roster/2024,year-swap (direct),https://eckerdtritons.com/sports/mens-soccer/roster/2025,40,todo,
Eckerd,womens-soccer,NCAA D2,Sunshine State Conference,https://eckerdtritons.com/sports/womens-soccer/roster/2024,year-swap (direct),https://eckerdtritons.com/sports/womens-soccer/roster/2025,37,todo,
Edgewood,mens-soccer,NCAA D3,NACC,https://edgewoodeagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://edgewoodeagles.com/sports/mens-soccer/roster/2025,34,todo,
Edgewood College,womens-soccer,NCAA D3,Northern Athletics Collegiate Conference,https://edgewoodeagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://edgewoodeagles.com/sports/womens-soccer/roster/2025,31,todo,
Edward Waters,womens-soccer,NCAA D2,Independent,https://ewutigerpride.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ewutigerpride.com/sports/womens-soccer/roster/2025,21,todo,
Elizabethtown,mens-soccer,NCAA D3,MAC Commonwealth,https://etownbluejays.com/sports/mens-soccer/roster/2024,year-swap (direct),https://etownbluejays.com/sports/mens-soccer/roster/2025,30,todo,
Elizabethtown College,womens-soccer,NCAA D3,Landmark Conference,https://etownbluejays.com/sports/womens-soccer/roster/2024,year-swap (direct),https://etownbluejays.com/sports/womens-soccer/roster/2025,26,todo,
Elmhurst,mens-soccer,NCAA D3,CCIW,https://elmhurstbluejays.com/sports/mens-soccer/roster/2024,year-swap (direct),https://elmhurstbluejays.com/sports/mens-soccer/roster/2025,38,todo,
Elmhurst University,womens-soccer,NCAA D3,College Conference of Illinois & Wisconsin,https://elmhurstbluejays.com/sports/womens-soccer/roster/2024,year-swap (direct),https://elmhurstbluejays.com/sports/womens-soccer/roster/2025,36,todo,
Elmira,mens-soccer,NCAA D3,Empire 8,https://athletics.elmira.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.elmira.edu/sports/mens-soccer/roster/2025,38,todo,
Elmira College,womens-soccer,NCAA D3,Empire 8,https://athletics.elmira.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.elmira.edu/sports/womens-soccer/roster/2025,28,todo,
Elms,mens-soccer,NCAA D3,CCC,https://athletics.elms.edu/sports/msoc/2024-26/roster,year-swap (direct),https://athletics.elms.edu/sports/msoc/2025-26/roster,22,todo,
Elon,mens-soccer,NCAA D1,CAA,https://elonphoenix.com/sports/mens-soccer/roster/2024,year-swap (direct),https://elonphoenix.com/sports/mens-soccer/roster/2025,31,todo,
Elon,womens-soccer,NCAA D1,CAA,https://elonphoenix.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251119100040/https://elonphoenix.com/sports/womens-soccer/roster,27,todo,
Embry-Riddle,mens-soccer,NCAA D2,Sunshine State,https://erauathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://erauathletics.com/sports/mens-soccer/roster/2025,22,todo,
Embry–Riddle Aeronautical,womens-soccer,NCAA D2,Sunshine State Conference,https://erauathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://erauathletics.com/sports/womens-soccer/roster/2025,24,todo,
Emerson,mens-soccer,NCAA D3,NEWMAC,https://emersonlions.com/sports/mens-soccer/roster/2024,year-swap (direct),https://emersonlions.com/sports/mens-soccer/roster/2025,26,todo,
Emerson College,womens-soccer,NCAA D3,New England Women's and Men's Athletic Conference,https://emersonlions.com/sports/womens-soccer/roster/2024,year-swap (direct),https://emersonlions.com/sports/womens-soccer/roster/2025,23,todo,
Emmanuel (GA),mens-soccer,NCAA D2,SAC,https://goeulions.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goeulions.com/sports/mens-soccer/roster/2025,28,todo,
Emmanuel (GA),womens-soccer,NCAA D2,Conference Carolinas,https://goeulions.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goeulions.com/sports/womens-soccer/roster/2025,28,todo,
Emmanuel (MA),mens-soccer,NCAA D3,CCC,https://goecsaints.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goecsaints.com/sports/mens-soccer/roster/2025,26,todo,
Emory,mens-soccer,NCAA D3,UAA,https://emoryathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://emoryathletics.com/sports/mens-soccer/roster/2025,37,todo,
Emory & Henry,mens-soccer,NCAA D2,SAC,https://www.gowasps.com/sports/msoc/2024-26/roster,year-swap (direct),https://www.gowasps.com/sports/msoc/2025-26/roster,76,todo,
Emory & Henry,womens-soccer,NCAA D2,South Atlantic Conference,https://www.gowasps.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.gowasps.com/sports/wsoc/2025-26/roster,36,todo,
Emory University,womens-soccer,NCAA D3,University Athletic Association,https://emoryathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://emoryathletics.com/sports/womens-soccer/roster/2025,34,todo,
Emporia State,womens-soccer,NCAA D2,Mid-America Intercollegiate Athletics Association,https://esuhornets.com/sports/womens-soccer/roster/2024,year-swap (direct),https://esuhornets.com/sports/womens-soccer/roster/2025,28,todo,
Erskine,mens-soccer,NCAA D2,SAC,https://erskinesports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://erskinesports.com/sports/mens-soccer/roster/2025,34,todo,
Erskine,womens-soccer,NCAA D2,Conference Carolinas,https://erskinesports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://erskinesports.com/sports/womens-soccer/roster/2025,25,todo,
Eureka,mens-soccer,NCAA D3,SLIAC,https://www.eurekareddevils.com/sports/msoc/2024-26/roster,year-swap (direct),https://www.eurekareddevils.com/sports/msoc/2025-26/roster,58,todo,
Evansville,mens-soccer,NCAA D1,MVC,https://gopurpleaces.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gopurpleaces.com/sports/mens-soccer/roster/2025,42,todo,
Evansville,womens-soccer,NCAA D1,Missouri Valley,https://gopurpleaces.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251107212447/https://gopurpleaces.com/sports/womens-soccer/roster,30,todo,
FDU-Florham,mens-soccer,NCAA D3,Skyline,https://fdudevils.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fdudevils.com/sports/mens-soccer/roster/2025,30,todo,
FGCU,mens-soccer,NCAA D1,ASUN,https://fgcuathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fgcuathletics.com/sports/mens-soccer/roster/2025,29,todo,
FIU,mens-soccer,NCAA D1,Conference USA,https://fiusports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fiusports.com/sports/mens-soccer/roster/2025,27,todo,
FIU,womens-soccer,NCAA D1,CUSA,https://fiusports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251113132137/https://fiusports.com/sports/womens-soccer/roster,28,todo,
Fairfield,mens-soccer,NCAA D1,MAAC,https://fairfieldstags.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fairfieldstags.com/sports/mens-soccer/roster/2025,30,todo,
Fairfield,womens-soccer,NCAA D1,Metro,https://fairfieldstags.com/sports/womens-soccer/roster/2024,year-swap (direct),https://fairfieldstags.com/sports/womens-soccer/roster/2025,29,todo,
Fairleigh Dickinson,mens-soccer,NCAA D1,NEC,https://fduknights.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fduknights.com/sports/mens-soccer/roster/2025,37,todo,
Fairleigh Dickinson,womens-soccer,NCAA D1,NEC,https://fduknights.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20260105011927/https://fduknights.com/sports/womens-soccer/roster,30,todo,
Fairleigh Dickinson University-Florham,womens-soccer,NCAA D3,Middle Atlantic Conference (Freedom),https://fdudevils.com/sports/womens-soccer/roster/2024,year-swap (direct),https://fdudevils.com/sports/womens-soccer/roster/2025,25,todo,
Fairmont State,womens-soccer,NCAA D2,Mountain East Conference,https://fightingfalcons.com/sports/womens-soccer/roster/2024,year-swap (direct),https://fightingfalcons.com/sports/womens-soccer/roster/2025,33,todo,
Farmingdale State College,womens-soccer,NCAA D3,Skyline Conference,https://farmingdalesports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://farmingdalesports.com/sports/womens-soccer/roster/2025,34,todo,
Felician,mens-soccer,NCAA D2,CACC,https://felicianuathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://felicianuathletics.com/sports/mens-soccer/roster/2025,56,todo,
Felician,womens-soccer,NCAA D2,Central Atlantic Collegiate Conference,https://felicianuathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://felicianuathletics.com/sports/womens-soccer/roster/2025,41,todo,
Ferris State,womens-soccer,NCAA D2,Great Lakes Intercollegiate Athletic Conference,https://www.ferrisstatebulldogs.com/sports/wsoc/2024-26/roster,year-swap (direct),https://www.ferrisstatebulldogs.com/sports/wsoc/2025-26/roster,33,todo,
Ferrum,mens-soccer,NCAA D3,ODAC,https://ferrumpanthers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ferrumpanthers.com/sports/mens-soccer/roster/2025,35,todo,
Ferrum,womens-soccer,NCAA D2,Conference Carolinas,https://ferrumpanthers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ferrumpanthers.com/sports/womens-soccer/roster/2025,29,todo,
Findlay,mens-soccer,NCAA D2,GLIAC,https://findlayoilers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://findlayoilers.com/sports/mens-soccer/roster/2025,42,todo,
Findlay,womens-soccer,NCAA D2,Great Midwest Athletic Conference,https://findlayoilers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://findlayoilers.com/sports/womens-soccer/roster/2025,32,todo,
Fitchburg State,mens-soccer,NCAA D3,MASCAC,https://fitchburgfalcons.com/sports/msoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251106023816/https://fitchburgfalcons.com/sports/msoc/2025-26/roster,31,todo,
Fitchburg State University,womens-soccer,NCAA D3,Massachusetts State Collegiate Athletic Conference,https://fitchburgfalcons.com/sports/wsoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251106040231/https://fitchburgfalcons.com/sports/wsoc/2025-26/roster,24,todo,
Flagler,mens-soccer,NCAA D2,Peach Belt,https://flaglerathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://flaglerathletics.com/sports/mens-soccer/roster/2025,31,todo,
Flagler,womens-soccer,NCAA D2,Peach Belt Conference,https://flaglerathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://flaglerathletics.com/sports/womens-soccer/roster/2025,29,todo,
Florida,womens-soccer,NCAA D1,SEC,https://floridagators.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251210171823/https://floridagators.com/sports/womens-soccer/roster,28,todo,
Florida Atlantic,mens-soccer,NCAA D1,AAC,https://fausports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fausports.com/sports/mens-soccer/roster/2025,29,todo,
Florida Atlantic,womens-soccer,NCAA D1,American,https://fausports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20260128192718/https://fausports.com/sports/womens-soccer/roster,27,todo,
Florida Gulf Coast,womens-soccer,NCAA D1,ASUN,https://fgcuathletics.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250929071604/https://fgcuathletics.com/sports/womens-soccer/roster,28,todo,
Florida Southern,mens-soccer,NCAA D2,Sunshine State,https://fscmocs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fscmocs.com/sports/mens-soccer/roster/2025,32,todo,
Florida Southern,womens-soccer,NCAA D2,Sunshine State Conference,https://fscmocs.com/sports/womens-soccer/roster/2024,year-swap (direct),https://fscmocs.com/sports/womens-soccer/roster/2025,37,todo,
Florida State,womens-soccer,NCAA D1,ACC,https://seminoles.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20260206134102/https://seminoles.com/sports/womens-soccer/roster,27,todo,
Florida Tech,mens-soccer,NCAA D2,Sunshine State,https://floridatechsports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://floridatechsports.com/sports/mens-soccer/roster/2025,32,todo,
Florida Tech,womens-soccer,NCAA D2,Sunshine State Conference,https://floridatechsports.com/sports/womens-soccer/roster/2024,year-swap (direct),https://floridatechsports.com/sports/womens-soccer/roster/2025,29,todo,
Fordham,mens-soccer,NCAA D1,Atlantic 10,https://fordhamsports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fordhamsports.com/sports/mens-soccer/roster/2025,31,todo,
Fordham,womens-soccer,NCAA D1,Atlantic 10,https://fordhamsports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251214064752/https://fordhamsports.com/sports/womens-soccer/roster,28,todo,
Fort Hays State,mens-soccer,NCAA D2,MIAA,https://fhsuathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fhsuathletics.com/sports/mens-soccer/roster/2025,30,todo,
Fort Hays State,womens-soccer,NCAA D2,Mid-America Intercollegiate Athletics Association,https://fhsuathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://fhsuathletics.com/sports/womens-soccer/roster/2025,29,todo,
Fort Lewis,mens-soccer,NCAA D2,RMAC,https://goskyhawks.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goskyhawks.com/sports/mens-soccer/roster/2025,27,todo,
Fort Lewis,womens-soccer,NCAA D2,Rocky Mountain Athletic Conference,https://goskyhawks.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goskyhawks.com/sports/womens-soccer/roster/2025,29,todo,
Framingham State,mens-soccer,NCAA D3,MASCAC,https://fsurams.com/sports/msoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250925000931/https://fsurams.com/sports/msoc/2025-26/roster,25,todo,
Framingham State University,womens-soccer,NCAA D3,Massachusetts State Collegiate Athletic Conference,https://fsurams.com/sports/wsoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250925003517/https://fsurams.com/sports/wsoc/2025-26/roster,26,todo,
Francis Marion,mens-soccer,NCAA D2,Peach Belt,https://fmupatriots.com/sports/mens-soccer/roster/2024,year-swap (direct),https://fmupatriots.com/sports/mens-soccer/roster/2025,50,todo,
Francis Marion,womens-soccer,NCAA D2,Conference Carolinas,https://fmupatriots.com/sports/womens-soccer/roster/2024,year-swap (direct),https://fmupatriots.com/sports/womens-soccer/roster/2025,32,todo,
